Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",Geoid
4001.0,2015,Alameda County,high,not eligible,0.0,0,1.0,58,0.0,0,0.0,0,6001400100
4002.0,2015,Alameda County,high,not eligible,0.0,0,1.0,11,0.0,0,0.0,0,6001400200
4003.0,2015,Alameda County,mid,not eligible,0.0,0,1.0,59,0.0,0,0.0,0,6001400300
4004.0,2015,Alameda County,mid,not eligible,0.0,0,1.0,43,0.0,0,0.0,0,6001400400
4005.0,2015,Alameda County,mod,eligible,0.9148936170212766,43,0.0,0,0.0,0,0.0,0,6001400500
4006.0,2015,Alameda County,mod,eligible,1.0,16,0.0,0,0.0,0,0.0,0,6001400600
4007.0,2015,Alameda County,mod,eligible,0.9692307692307692,63,0.0,0,0.0,0,0.0,0,6001400700
4008.0,2015,Alameda County,mod,eligible,0.972972972972973,36,0.0,0,0.0,0,0.0,0,6001400800
4009.0,2015,Alameda County,mod,eligible,1.0,47,0.0,0,0.0,0,0.0,0,6001400900
4010.0,2015,Alameda County,mod,eligible,0.9545454545454546,105,0.0,0,0.0,0,0.0,0,6001401000
4011.0,2015,Alameda County,mod,eligible,1.0,38,0.0,0,0.0,0,0.0,0,6001401100
4012.0,2015,Alameda County,mid,not eligible,0.0,0,1.0,41,0.0,0,0.0,0,6001401200
4013.0,2015,Alameda County,low,eligible,0.8888888888888888,48,0.0,0,0.0,0,0.0,0,6001401300
4014.0,2015,Alameda County,low,eligible,0.8269230769230769,43,0.0,0,0.0,0,0.0,0,6001401400
4015.0,2015,Alameda County,low,eligible,0.9523809523809523,60,0.0,0,0.0,0,0.0,0,6001401500
4016.0,2015,Alameda County,mod,eligible,1.0,23,0.0,0,0.0,0,0.0,0,6001401600
4017.0,2015,Alameda County,mod,eligible,0.9512195121951219,117,0.0,0,0.0,0,0.0,0,6001401700
4018.0,2015,Alameda County,low,eligible,0.8846153846153846,23,0.0,0,0.0,0,0.0,0,6001401800
4022.0,2015,Alameda County,mod,eligible,0.875,28,0.0,0,0.0,0,0.0,0,6001402200
4024.0,2015,Alameda County,low,eligible,0.8214285714285714,23,0.0,0,0.0,0,0.0,0,6001402400
4025.0,2015,Alameda County,low,eligible,0.75,6,0.0,0,0.0,0,0.0,0,6001402500
4026.0,2015,Alameda County,low,eligible,1.0,4,0.0,0,0.0,0,0.0,0,6001402600
4027.0,2015,Alameda County,mod,eligible,0.7,14,0.0,0,0.0,0,0.0,0,6001402700
4028.0,2015,Alameda County,low,eligible,0.8409090909090909,37,0.0,0,0.0,0,0.0,0,6001402800
4029.0,2015,Alameda County,low,eligible,1.0,2,0.0,0,0.0,0,0.0,0,6001402900
4030.0,2015,Alameda County,low,eligible,0.6578947368421053,25,0.0,0,0.0,0,0.0,0,6001403000
4031.0,2015,Alameda County,mod,eligible,0.9487179487179487,37,0.0,0,0.0,0,0.0,0,6001403100
4033.0,2015,Alameda County,mod,eligible,0.9571428571428572,67,0.0,0,0.0,0,0.0,0,6001403300
4034.0,2015,Alameda County,mod,eligible,0.9777777777777777,44,0.0,0,0.0,0,0.0,0,6001403400
4035.01,2015,Alameda County,low,eligible,0.8666666666666667,39,0.0,0,0.0,0,0.0,0,6001403501
4035.02,2015,Alameda County,mid,not eligible,0.0,0,0.8541666666666666,41,0.0,0,0.0,0,6001403502
4036.0,2015,Alameda County,mod,eligible,0.8888888888888888,48,0.0,0,0.0,0,0.0,0,6001403600
4037.01,2015,Alameda County,mid,not eligible,0.0,0,0.8857142857142857,31,0.0,0,0.0,0,6001403701
4037.02,2015,Alameda County,mod,eligible,0.9230769230769231,12,0.0,0,0.0,0,0.0,0,6001403702
4038.0,2015,Alameda County,high,not eligible,0.0,0,0.9607843137254902,49,0.0,0,0.0,0,6001403800
4039.0,2015,Alameda County,mid,not eligible,0.0,0,0.7702702702702703,57,0.0,0,0.0,0,6001403900
4040.0,2015,Alameda County,mid,not eligible,0.0,0,0.8367346938775511,41,0.0,0,0.0,0,6001404000
4041.01,2015,Alameda County,high,not eligible,0.0,0,0.890625,57,0.0,0,0.0,0,6001404101
4041.02,2015,Alameda County,mod,eligible,0.7857142857142857,11,0.0,0,0.0,0,0.0,0,6001404102
4042.0,2015,Alameda County,high,not eligible,0.0,0,1.0,58,0.0,0,0.0,0,6001404200
4043.0,2015,Alameda County,high,not eligible,0.0,0,1.0,48,0.0,0,0.0,0,6001404300
4044.0,2015,Alameda County,high,not eligible,0.0,0,0.963855421686747,160,0.0,0,0.0,0,6001404400
4045.01,2015,Alameda County,high,not eligible,0.0,0,1.0,26,0.0,0,0.0,0,6001404501
4045.02,2015,Alameda County,high,not eligible,0.0,0,0.9647887323943662,137,0.0,0,0.0,0,6001404502
4046.0,2015,Alameda County,high,not eligible,0.0,0,0.9732142857142857,109,0.0,0,0.0,0,6001404600
4047.0,2015,Alameda County,high,not eligible,0.0,0,1.0,53,0.0,0,0.0,0,6001404700
4048.0,2015,Alameda County,high,not eligible,0.0,0,0.9583333333333334,46,0.0,0,0.0,0,6001404800
4049.0,2015,Alameda County,mod,eligible,0.9857142857142858,69,0.0,0,0.0,0,0.0,0,6001404900
4050.0,2015,Alameda County,high,not eligible,0.0,0,0.9821428571428571,55,0.0,0,0.0,0,6001405000
4051.0,2015,Alameda County,high,not eligible,0.0,0,1.0,62,0.0,0,0.0,0,6001405100
4052.0,2015,Alameda County,mod,eligible,0.9795918367346939,48,0.0,0,0.0,0,0.0,0,6001405200
4053.01,2015,Alameda County,mod,eligible,0.9354838709677419,29,0.0,0,0.0,0,0.0,0,6001405301
4053.02,2015,Alameda County,low,eligible,1.0,6,0.0,0,0.0,0,0.0,0,6001405302
4054.01,2015,Alameda County,low,eligible,0.8571428571428571,12,0.0,0,0.0,0,0.0,0,6001405401
4054.02,2015,Alameda County,mod,eligible,0.6666666666666666,6,0.0,0,0.0,0,0.0,0,6001405402
4055.0,2015,Alameda County,mod,eligible,0.8846153846153846,23,0.0,0,0.0,0,0.0,0,6001405500
4056.0,2015,Alameda County,mod,eligible,0.9361702127659575,44,0.0,0,0.0,0,0.0,0,6001405600
4057.0,2015,Alameda County,mod,eligible,0.925,37,0.0,0,0.0,0,0.0,0,6001405700
4058.0,2015,Alameda County,low,eligible,0.68,17,0.0,0,0.0,0,0.0,0,6001405800
4059.01,2015,Alameda County,low,eligible,0.6451612903225806,20,0.0,0,0.0,0,0.0,0,6001405901
4059.02,2015,Alameda County,low,eligible,0.696969696969697,23,0.0,0,0.0,0,0.0,0,6001405902
4060.0,2015,Alameda County,low,eligible,0.8888888888888888,16,0.0,0,0.0,0,0.0,0,6001406000
4061.0,2015,Alameda County,mod,eligible,0.7142857142857143,20,0.0,0,0.0,0,0.0,0,6001406100
4062.01,2015,Alameda County,low,eligible,0.78125,25,0.0,0,0.0,0,0.0,0,6001406201
4062.02,2015,Alameda County,low,eligible,0.7058823529411765,12,0.0,0,0.0,0,0.0,0,6001406202
4063.0,2015,Alameda County,low,eligible,0.7115384615384616,37,0.0,0,0.0,0,0.0,0,6001406300
4064.0,2015,Alameda County,low,eligible,0.9,27,0.0,0,0.0,0,0.0,0,6001406400
4065.0,2015,Alameda County,low,eligible,0.75,30,0.0,0,0.0,0,0.0,0,6001406500
4066.01,2015,Alameda County,mod,eligible,0.8571428571428571,66,0.0,0,0.0,0,0.0,0,6001406601
4066.02,2015,Alameda County,low,eligible,0.9333333333333333,28,0.0,0,0.0,0,0.0,0,6001406602
4067.0,2015,Alameda County,mid,not eligible,0.0,0,0.9553571428571429,107,0.0,0,0.0,0,6001406700
4068.0,2015,Alameda County,mid,not eligible,0.0,0,0.9803921568627451,50,0.0,0,0.0,0,6001406800
4069.0,2015,Alameda County,mid,not eligible,0.0,0,0.8382352941176471,57,0.0,0,0.0,0,6001406900
4070.0,2015,Alameda County,low,eligible,0.7674418604651163,66,0.0,0,0.0,0,0.0,0,6001407000
4071.01,2015,Alameda County,low,eligible,0.782608695652174,18,0.0,0,0.0,0,0.0,0,6001407101
4071.02,2015,Alameda County,mod,eligible,0.9302325581395349,40,0.0,0,0.0,0,0.0,0,6001407102
4072.0,2015,Alameda County,low,eligible,0.7647058823529411,26,0.0,0,0.0,0,0.0,0,6001407200
4073.0,2015,Alameda County,low,eligible,0.42857142857142855,12,0.0,0,0.0,0,0.0,0,6001407300
4074.0,2015,Alameda County,low,eligible,0.59375,19,0.0,0,0.0,0,0.0,0,6001407400
4075.0,2015,Alameda County,low,eligible,0.5510204081632653,27,0.0,0,0.0,0,0.0,0,6001407500
4076.0,2015,Alameda County,low,eligible,0.8392857142857143,94,0.0,0,0.0,0,0.0,0,6001407600
4077.0,2015,Alameda County,mid,not eligible,0.0,0,0.9259259259259259,100,0.0,0,0.0,0,6001407700
4078.0,2015,Alameda County,mod,eligible,0.9333333333333333,56,0.0,0,0.0,0,0.0,0,6001407800
4079.0,2015,Alameda County,mid,not eligible,0.0,0,0.925531914893617,87,0.0,0,0.0,0,6001407900
4080.0,2015,Alameda County,high,not eligible,0.0,0,0.9846153846153847,64,0.0,0,0.0,0,6001408000
4081.0,2015,Alameda County,high,not eligible,0.0,0,0.9476190476190476,199,0.0,0,0.0,0,6001408100
4082.0,2015,Alameda County,mid,not eligible,0.0,0,0.9270833333333334,89,0.0,0,0.0,0,6001408200
4083.0,2015,Alameda County,mod,eligible,0.9056603773584906,96,0.0,0,0.0,0,0.0,0,6001408300
4084.0,2015,Alameda County,low,eligible,0.42857142857142855,27,0.0,0,0.0,0,0.0,0,6001408400
4085.0,2015,Alameda County,low,eligible,0.4647887323943662,33,0.0,0,0.0,0,0.0,0,6001408500
4086.0,2015,Alameda County,low,eligible,0.4274193548387097,53,0.0,0,0.0,0,0.0,0,6001408600
4087.0,2015,Alameda County,low,eligible,0.5619834710743802,68,0.0,0,0.0,0,0.0,0,6001408700
4088.0,2015,Alameda County,low,eligible,0.273972602739726,20,0.0,0,0.0,0,0.0,0,6001408800
4089.0,2015,Alameda County,low,eligible,0.5,20,0.0,0,0.0,0,0.0,0,6001408900
4090.0,2015,Alameda County,low,eligible,0.3939393939393939,13,0.0,0,0.0,0,0.0,0,6001409000
4091.0,2015,Alameda County,mod,eligible,0.3269230769230769,17,0.0,0,0.0,0,0.0,0,6001409100
4092.0,2015,Alameda County,low,eligible,0.4722222222222222,17,0.0,0,0.0,0,0.0,0,6001409200
4093.0,2015,Alameda County,low,eligible,0.6346153846153846,33,0.0,0,0.0,0,0.0,0,6001409300
4094.0,2015,Alameda County,low,eligible,0.6447368421052632,49,0.0,0,0.0,0,0.0,0,6001409400
4095.0,2015,Alameda County,low,eligible,0.27586206896551724,8,0.0,0,0.0,0,0.0,0,6001409500
